Name,hermes.p.no-vmsub.zxpt.k+
Comment,HERMES proton-to-k+ (zxpt-3D) no-vmsub. thFactor contains DIS normalization (by MSHT20nnlo)
Reference,1212.5407
Process type,SIDIS
Number of points,334
Number of uncorr.errors,2
Number of corr.errors,1
Number of norm.errors,0
List of norm.errors (relative),
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<x>,xMin,xMax,<z>,zMin,zMax,<pT>[GeV],pTMin[GeV],pTMax[GeV],xSec,Uncorr.Err.0,Uncorr.Err.1,Corr.Err.0,Th.Factor,FiducialCuts,yMin,yMax,W2min[GeV^2],W2max[GeV^2],TargetMass[GeV],ProductMass[GeV]
hermes.p.no-vmsub.zxpt.k+.0,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1517822,0.1,0.2,0.1045042,0.0,0.15,0.430958,0.02344261,0.1928677,0.011602503680075269,0.007760037288810543,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.1,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1510978,0.1,0.2,0.2130929,0.15,0.25,0.8652075,0.02952525,0.1671268,0.023293623050920795,0.011640055933215813,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.2,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1555415,0.1,0.2,0.3257736,0.25,0.35,0.9295636,0.02858819,0.07442146,0.025026255667290123,0.011640055933215815,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.3,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1548745,0.1,0.2,0.4361345,0.35,0.45,0.8011693,0.02913891,0.1736449,0.021569549124539577,0.011640055933215808,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.4,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1593262,0.1,0.2,0.577714,0.45,0.6,0.5624924,0.0254278,0.2044422,0.015143749834123907,0.007760037288810543,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.5,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1570191,0.1,0.2,0.7425539,0.6,0.8,0.281291,0.02633422,0.110535,0.007573081048900479,0.005820027966607904,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.6,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.1747199,0.1,0.2,1.012328,0.8,1.2,0.04988022,0.03113111,0.01960028,0.001342904496755981,0.002910013983303954,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.7,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2283779,0.2,0.25,0.09910979,0.0,0.15,0.3161126,0.02626707,0.0527618,0.008510568558463149,0.015520074577621088,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.8,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2301947,0.2,0.25,0.2100173,0.15,0.25,0.6015712,0.03391626,0.06947121,0.016195852175449336,0.023280111866431634,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.9,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2309547,0.2,0.25,0.3074415,0.25,0.35,0.6221677,0.03076387,0.1918252,0.01675036321143584,0.023280111866431637,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.10,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2326686,0.2,0.25,0.4123093,0.35,0.45,0.5121243,0.02458953,0.2434269,0.013787710346265695,0.023280111866431624,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.11,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2393137,0.2,0.25,0.553116,0.45,0.6,0.384978,0.01797355,0.1829561,0.010364603190445512,0.015520074577621092,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.12,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2383969,0.2,0.25,0.7319698,0.6,0.8,0.1810259,0.01178778,0.0859577,0.004873685303298552,0.011640055933215812,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.13,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2566289,0.25,0.3,1.05627,0.8,1.2,0.05740181,0.008149074,0.02727029,0.0015454051479911763,0.005820027966607909,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.14,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2736701,0.25,0.3,0.0983582,0.0,0.15,0.1862192,0.02076695,0.01116752,0.005013502367517653,0.015520074577621088,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.15,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2798066,0.25,0.3,0.2039941,0.15,0.25,0.450787,0.02973414,0.09858984,0.012136351631551311,0.023280111866431634,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.16,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.282553,0.25,0.3,0.3071736,0.25,0.35,0.5372981,0.02916652,0.230426,0.014465454133691566,0.023280111866431637,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.17,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2834857,0.25,0.3,0.4129904,0.35,0.45,0.454004,0.02500572,0.1949424,0.012222961589688306,0.023280111866431624,True,0.1,0.85,10.0,10000.0,0.938,0.494
hermes.p.no-vmsub.zxpt.k+.18,1 / 1 / 2 / 2001,52.657444,1.117911892771519,1.0,4.47213595499958,0.03758844,0.023,0.047,0.2864452,0.25,0.3,0.5438605,0.45,0.6,0.3225743,0.01531354,0.1384732,0.008684534230360507,0.015520074577621092,True,0.1,0.85,10.0,10000.0,0.938,0.494
